JobID,d592c4df-b494-421a-b09f-704913fd47a5
date,avg
01/01/2015,0.10000000149011612
01/02/2015,0.0
01/03/2015,0.15000000596046448
01/04/2015,0.25
01/05/2015,0.45000001788139343
01/06/2015,0.0
01/07/2015,0.10000000149011612
01/08/2015,0.05000000074505806
01/09/2015,0.0
01/10/2015,0.10000000149011612
01/11/2015,0.5
01/12/2015,0.05000000074505806
01/13/2015,0.0
01/14/2015,0.0
01/15/2015,0.20000000298023224
01/16/2015,0.10000000149011612
01/17/2015,0.0
01/18/2015,0.0
01/19/2015,0.4000000059604645
01/20/2015,0.05000000074505806
01/21/2015,0.05000000074505806
01/22/2015,0.9500000476837158
01/23/2015,0.6000000238418579
01/24/2015,0.15000000596046448
01/25/2015,0.30000001192092896
01/26/2015,0.10000000149011612
01/27/2015,0.05000000074505806
01/28/2015,0.15000000596046448
01/29/2015,0.25
01/30/2015,0.15000000596046448
01/31/2015,0.0
02/01/2015,0.0
02/02/2015,0.550000011920929
02/03/2015,0.0
02/04/2015,0.0
02/05/2015,0.0
02/06/2015,0.05000000074505806
02/07/2015,0.10000000149011612
02/08/2015,0.0
02/09/2015,0.10000000149011612
02/10/2015,0.0
02/11/2015,0.0
02/12/2015,0.0
02/13/2015,0.0
02/14/2015,0.0
02/15/2015,0.0
02/16/2015,0.10000000149011612
02/17/2015,0.6000000238418579
02/18/2015,0.15000000596046448
02/19/2015,0.25
02/20/2015,0.25
02/21/2015,0.0
02/22/2015,0.0
02/23/2015,0.0
02/24/2015,0.0
02/25/2015,0.10000000149011612
02/26/2015,0.0
02/27/2015,0.0
02/28/2015,0.0
03/01/2015,0.0
03/02/2015,0.0
03/03/2015,0.0
03/04/2015,0.0
03/05/2015,0.10000000149011612
03/06/2015,0.30000001192092896
03/07/2015,0.45000001788139343
03/08/2015,0.05000000074505806
03/09/2015,0.25
03/10/2015,0.10000000149011612
03/11/2015,0.10000000149011612
03/12/2015,0.10000000149011612
03/13/2015,0.05000000074505806
03/14/2015,0.7000000476837158
03/15/2015,0.75
03/16/2015,0.6499999761581421
03/17/2015,0.44999998807907104
03/18/2015,33.04999923706055
03/19/2015,4.900000095367432
03/20/2015,0.5
03/21/2015,4.199999809265137
03/22/2015,0.20000000298023224
03/23/2015,0.30000001192092896
03/24/2015,0.20000000298023224
03/25/2015,0.0
03/26/2015,0.0
03/27/2015,0.0
03/28/2015,0.0
03/29/2015,0.05000000074505806
03/30/2015,0.0
03/31/2015,0.0
04/01/2015,0.0
04/02/2015,0.0
04/03/2015,0.0
04/04/2015,0.10000000149011612
04/05/2015,0.10000000149011612
04/06/2015,0.15000000596046448
04/07/2015,0.15000000596046448
04/08/2015,0.0
04/09/2015,0.6000000238418579
04/10/2015,0.0
04/11/2015,0.0
04/12/2015,0.0
04/13/2015,0.0
04/14/2015,0.0
04/15/2015,0.0
04/16/2015,0.0
04/17/2015,0.0
04/18/2015,0.0
04/19/2015,0.0
04/20/2015,0.0
04/21/2015,0.0
04/22/2015,0.0
04/23/2015,0.0
04/24/2015,0.0
04/25/2015,0.0
04/26/2015,0.05000000074505806
04/27/2015,0.0
04/28/2015,0.0
04/29/2015,0.0
04/30/2015,0.15000000596046448
05/01/2015,0.10000000149011612
05/02/2015,0.10000000149011612
05/03/2015,0.0
05/04/2015,0.550000011920929
05/05/2015,0.0
05/06/2015,0.05000000074505806
05/07/2015,0.0
05/08/2015,0.10000000149011612
05/09/2015,0.0
05/10/2015,0.0
05/11/2015,0.0
05/12/2015,0.0
05/13/2015,0.0
05/14/2015,0.0
05/15/2015,0.0
05/16/2015,0.0
05/17/2015,0.0
05/18/2015,0.0
05/19/2015,0.05000000074505806
05/20/2015,0.0
05/21/2015,0.0
05/22/2015,0.15000000596046448
05/23/2015,0.0
05/24/2015,0.0
05/25/2015,0.0
05/26/2015,0.05000000074505806
05/27/2015,0.20000000298023224
05/28/2015,0.0
05/29/2015,0.0
05/30/2015,0.44999998807907104
05/31/2015,0.25
06/01/2015,0.10000000149011612
06/02/2015,0.10000000149011612
06/03/2015,1.25
06/04/2015,0.0
06/05/2015,0.0
06/06/2015,0.10000000149011612
06/07/2015,0.05000000074505806
06/08/2015,0.0
06/09/2015,0.10000000149011612
06/10/2015,0.20000000298023224
06/11/2015,0.25
06/12/2015,1.149999976158142
06/13/2015,0.5
06/14/2015,0.75
06/15/2015,0.0
06/16/2015,3.75
06/17/2015,8.450000762939453
06/18/2015,0.0
06/19/2015,0.0
06/20/2015,0.0
06/21/2015,0.10000000149011612
06/22/2015,0.0
06/23/2015,0.0
06/24/2015,0.0
06/25/2015,0.0
06/26/2015,0.0
06/27/2015,0.0
06/28/2015,0.0
06/29/2015,0.30000001192092896
06/30/2015,5.800000190734863
07/01/2015,10.5
07/02/2015,0.0
07/03/2015,0.10000000149011612
07/04/2015,0.0
07/05/2015,0.0
07/06/2015,0.3500000238418579
07/07/2015,0.3499999940395355
07/08/2015,12.399999618530273
07/09/2015,48.05000305175781
07/10/2015,2.700000047683716
07/11/2015,3.450000047683716
07/12/2015,2.8000001907348633
07/13/2015,0.550000011920929
07/14/2015,1.4500000476837158
07/15/2015,3.0500001907348633
07/16/2015,0.0
07/17/2015,0.0
07/18/2015,0.0
07/19/2015,4.949999809265137
07/20/2015,0.0
07/21/2015,0.0
07/22/2015,0.0
07/23/2015,0.05000000074505806
07/24/2015,10.350000381469727
07/25/2015,23.100000381469727
07/26/2015,7.40000057220459
07/27/2015,7.050000190734863
07/28/2015,6.400000095367432
07/29/2015,4.800000190734863
07/30/2015,64.69999694824219
07/31/2015,13.149999618530273
08/01/2015,14.450000762939453
08/02/2015,5.050000190734863
08/03/2015,0.20000000298023224
08/04/2015,14.300000190734863
08/05/2015,7.75
08/06/2015,0.10000000149011612
08/07/2015,0.0
08/08/2015,0.0
08/09/2015,14.700000762939453
08/10/2015,1.850000023841858
08/11/2015,0.0
08/12/2015,28.700000762939453
08/13/2015,1.8000000715255737
08/14/2015,57.55000305175781
08/15/2015,21.600000381469727
08/16/2015,3.6000001430511475
08/17/2015,24.600000381469727
08/18/2015,2.75
08/19/2015,17.55000114440918
08/20/2015,33.95000076293945
08/21/2015,35.849998474121094
08/22/2015,8.399999618530273
08/23/2015,14.350000381469727
08/24/2015,0.800000011920929
08/25/2015,23.100000381469727
08/26/2015,1.25
08/27/2015,0.0
08/28/2015,3.25
08/29/2015,30.25
08/30/2015,5.949999809265137
08/31/2015,0.699999988079071
09/01/2015,15.300000190734863
09/02/2015,1.4500000476837158
09/03/2015,49.20000076293945
09/04/2015,9.600000381469727
09/05/2015,0.10000000149011612
09/06/2015,22.900001525878906
09/07/2015,30.10000228881836
09/08/2015,0.6000000238418579
09/09/2015,0.0
09/10/2015,24.25
09/11/2015,0.45000001788139343
09/12/2015,7.850000381469727
09/13/2015,16.55000114440918
09/14/2015,0.15000000596046448
09/15/2015,0.6499999761581421
09/16/2015,35.099998474121094
09/17/2015,0.05000000074505806
09/18/2015,0.0
09/19/2015,2.8000001907348633
09/20/2015,42.150001525878906
09/21/2015,3.25
09/22/2015,18.200000762939453
09/23/2015,15.100000381469727
09/24/2015,0.9000000357627869
09/25/2015,0.0
09/26/2015,0.6499999761581421
09/27/2015,53.599998474121094
09/28/2015,9.350000381469727
09/29/2015,0.6499999761581421
09/30/2015,1.75
10/01/2015,0.800000011920929
10/02/2015,9.75
10/03/2015,17.100000381469727
10/04/2015,0.10000000149011612
10/05/2015,0.0
10/06/2015,26.950000762939453
10/07/2015,1.600000023841858
10/08/2015,0.15000000596046448
10/09/2015,0.0
10/10/2015,0.10000000149011612
10/11/2015,0.0
10/12/2015,0.0
10/13/2015,20.150001525878906
10/14/2015,32.5
10/15/2015,7.450000286102295
10/16/2015,0.9000000357627869
10/17/2015,2.450000047683716
10/18/2015,0.10000000149011612
10/19/2015,0.20000000298023224
10/20/2015,0.30000001192092896
10/21/2015,4.200000286102295
10/22/2015,1.100000023841858
10/23/2015,15.850000381469727
10/24/2015,0.20000000298023224
10/25/2015,1.25
10/26/2015,2.6500000953674316
10/27/2015,0.8500000238418579
10/28/2015,0.0
10/29/2015,0.0
10/30/2015,0.0
10/31/2015,0.0
11/01/2015,0.30000001192092896
