JobID,1a36af09-2968-40cc-9bc9-4e63c48ab952
date,avg
01/01/2015,0.0
01/02/2015,0.0
01/03/2015,0.10000000149011612
01/04/2015,1.399999976158142
01/05/2015,1.3000000715255737
01/06/2015,0.0
01/07/2015,0.0
01/08/2015,0.10000000149011612
01/09/2015,0.0
01/10/2015,0.6000000238418579
01/11/2015,0.4000000059604645
01/12/2015,0.0
01/13/2015,0.10000000149011612
01/14/2015,0.0
01/15/2015,0.0
01/16/2015,0.10000000149011612
01/17/2015,0.10000000149011612
01/18/2015,0.0
01/19/2015,0.0
01/20/2015,0.0
01/21/2015,0.0
01/22/2015,0.20000000298023224
01/23/2015,0.10000000149011612
01/24/2015,0.10000000149011612
01/25/2015,0.0
01/26/2015,0.10000000149011612
01/27/2015,0.0
01/28/2015,0.0
01/29/2015,0.0
01/30/2015,0.0
01/31/2015,0.20000000298023224
02/01/2015,0.0
02/02/2015,0.20000000298023224
02/03/2015,0.0
02/04/2015,0.0
02/05/2015,0.0
02/06/2015,0.0
02/07/2015,0.0
02/08/2015,0.0
02/09/2015,0.0
02/10/2015,0.0
02/11/2015,0.0
02/12/2015,0.0
02/13/2015,0.0
02/14/2015,0.0
02/15/2015,0.0
02/16/2015,0.0
02/17/2015,0.0
02/18/2015,0.10000000149011612
02/19/2015,0.0
02/20/2015,0.0
02/21/2015,0.0
02/22/2015,0.0
02/23/2015,0.0
02/24/2015,0.0
02/25/2015,0.0
02/26/2015,0.0
02/27/2015,0.0
02/28/2015,0.0
03/01/2015,0.0
03/02/2015,0.0
03/03/2015,0.10000000149011612
03/04/2015,0.0
03/05/2015,0.0
03/06/2015,0.0
03/07/2015,0.0
03/08/2015,0.0
03/09/2015,0.0
03/10/2015,0.0
03/11/2015,0.0
03/12/2015,0.0
03/13/2015,0.10000000149011612
03/14/2015,0.10000000149011612
03/15/2015,0.10000000149011612
03/16/2015,0.0
03/17/2015,0.699999988079071
03/18/2015,8.199999809265137
03/19/2015,15.699999809265137
03/20/2015,0.0
03/21/2015,1.399999976158142
03/22/2015,0.0
03/23/2015,0.0
03/24/2015,0.0
03/25/2015,0.0
03/26/2015,0.0
03/27/2015,0.0
03/28/2015,0.0
03/29/2015,0.0
