JobID,71204e3a-0dcb-4b24-bfbb-51bf1bfea79b
date,avg
01/01/2015,0.05000000074505806
01/02/2015,0.0
01/03/2015,0.44999998807907104
01/04/2015,0.15000000596046448
01/05/2015,0.45000001788139343
01/06/2015,0.0
01/07/2015,0.05000000074505806
01/08/2015,0.0
01/09/2015,0.0
01/10/2015,0.3500000238418579
01/11/2015,0.800000011920929
01/12/2015,0.10000000149011612
01/13/2015,0.0
01/14/2015,0.0
01/15/2015,0.05000000074505806
01/16/2015,0.15000000596046448
01/17/2015,0.0
01/18/2015,0.0
01/19/2015,0.4000000059604645
01/20/2015,0.05000000074505806
01/21/2015,0.0
01/22/2015,0.9500000476837158
01/23/2015,0.4000000059604645
01/24/2015,0.20000000298023224
01/25/2015,0.15000000596046448
01/26/2015,0.05000000074505806
01/27/2015,0.05000000074505806
01/28/2015,0.0
01/29/2015,0.15000000596046448
01/30/2015,0.05000000074505806
01/31/2015,0.0
02/01/2015,0.0
02/02/2015,1.0499999523162842
02/03/2015,0.0
02/04/2015,0.0
02/05/2015,0.0
02/06/2015,0.0
02/07/2015,0.05000000074505806
02/08/2015,0.0
02/09/2015,0.05000000074505806
02/10/2015,0.0
02/11/2015,0.0
02/12/2015,0.0
02/13/2015,0.0
02/14/2015,0.0
02/15/2015,0.0
02/16/2015,0.05000000074505806
02/17/2015,0.3500000238418579
02/18/2015,0.10000000149011612
02/19/2015,0.20000000298023224
02/20/2015,0.20000000298023224
02/21/2015,0.0
02/22/2015,0.0
02/23/2015,0.0
02/24/2015,0.0
02/25/2015,0.05000000074505806
02/26/2015,0.0
02/27/2015,0.0
02/28/2015,0.0
03/01/2015,0.0
03/02/2015,0.0
03/03/2015,0.0
03/04/2015,0.0
03/05/2015,0.10000000149011612
03/06/2015,0.30000001192092896
03/07/2015,0.3500000238418579
03/08/2015,0.10000000149011612
03/09/2015,0.20000000298023224
03/10/2015,0.05000000074505806
03/11/2015,0.05000000074505806
03/12/2015,0.20000000298023224
03/13/2015,0.05000000074505806
03/14/2015,0.25
03/15/2015,0.3499999940395355
03/16/2015,0.550000011920929
03/17/2015,0.20000000298023224
03/18/2015,40.29999923706055
03/19/2015,5.0
03/20/2015,0.75
03/21/2015,2.950000047683716
03/22/2015,0.10000000149011612
03/23/2015,0.15000000596046448
03/24/2015,0.25
03/25/2015,0.0
03/26/2015,0.0
03/27/2015,0.0
03/28/2015,0.0
03/29/2015,0.05000000074505806
03/30/2015,0.0
03/31/2015,0.0
04/01/2015,0.0
04/02/2015,0.0
04/03/2015,0.0
04/04/2015,0.10000000149011612
04/05/2015,0.10000000149011612
04/06/2015,0.10000000149011612
04/07/2015,0.05000000074505806
04/08/2015,0.0
04/09/2015,1.9500000476837158
04/10/2015,0.0
04/11/2015,0.0
04/12/2015,0.0
04/13/2015,0.0
04/14/2015,0.0
