mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08984084129333496,0.011841817342935795,0.003903818130493164,0.0020382324951058366,,sqrt,1,2,10,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",-32.03486959255534,-3.256668917505031,-11.380470817907447,-2.0622204038267875,-56.23889685397785,-20.99462531715449,20.63758071865649,215
0.4547757625579834,0.009453593156116715,0.007107210159301758,0.0028488957813267448,,sqrt,1,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-28.22000904245472,-2.236570780482898,-12.154613963299791,-1.9373782671903306,-51.84990222400807,-19.27969485548716,18.882470317175486,133
0.9400556087493896,0.04811535063943072,0.01437234878540039,0.0018248656289818266,,sqrt,1,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-25.405606574004022,-3.099254586589539,-14.087442983722338,-1.3948087194662606,-51.02507843970794,-19.00243826069802,18.185417763082857,91
1.8113423824310302,0.07315708646269314,0.02339482307434082,0.004009925720040455,,sqrt,1,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-26.167898047639213,-3.5724438334079482,-14.003556061662477,-1.2607207453272877,-47.88979974035494,-18.578883685678374,17.10420162700257,53
0.0758394718170166,0.00917342660475311,0.003622579574584961,0.001867954852818907,,sqrt,1,5,10,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",-33.628457219204,-7.932646100113845,-13.901813689503623,-2.079049281692673,-37.47428619508055,-19.003250497118938,14.071868087900846,93
0.394907283782959,0.016875013621034492,0.007252931594848633,0.0032423033203204197,,sqrt,1,5,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-27.539560359091425,-3.238816778730688,-15.36208970369699,-2.0692231135216734,-53.218700165606414,-20.285678024129435,18.888510719904147,185
0.748729944229126,0.01570719078927324,0.012899637222290039,0.002781800684312698,,sqrt,1,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-28.901305361191056,-4.055184631488635,-12.527287220416717,-1.7716615901278459,-49.9533248678248,-19.44175273420981,17.98459119540221,135
1.4826364994049073,0.06656592611366828,0.02078590393066406,0.005720371113695742,,sqrt,1,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-25.891344071248145,-4.376524222138323,-13.403031290773853,-1.454636461147417,-49.09672322925593,-18.844451854912734,17.356233925525558,69
0.07415494918823243,0.010037246415554263,0.0028110027313232424,0.0012137592469758705,,sqrt,1,10,10,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}",-37.240171445595806,-3.752877019039025,-22.343818382708676,-2.7181885791475677,-39.394388346230706,-21.089888754544358,15.719732943450625,221
0.3357535362243652,0.01627845667782573,0.007083320617675781,0.0037547068703532,,sqrt,1,10,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-30.90495751417462,-3.5960501310072033,-13.130144872327863,-2.344088082045866,-54.46710499232403,-20.888469118375916,19.651810321191736,207
0.6771360397338867,0.07486553147113749,0.01115884780883789,0.0022195868499440144,,sqrt,1,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-28.566276389147628,-3.780872707668468,-13.400364685344277,-1.872970991972176,-47.553387827380206,-19.034774520302552,17.10623528352859,99
1.328003454208374,0.10658148236837253,0.022063398361206056,0.005318412235021719,,sqrt,1,10,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-24.671330086725327,-4.035008953949448,-13.652712099401173,-1.4585258427997974,-47.93056864046575,-18.349629124668297,16.895411424075377,33
0.06633429527282715,0.0085459631451465,0.0025446414947509766,0.0013431144529906431,,sqrt,2,2,10,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",-72.50994985352158,-6.971484897559391,-13.338303653872675,-1.6945249721963513,-33.740312449180635,-25.65091516526612,25.82881193075422,283
0.3273775100708008,0.026902367994885316,0.008790063858032226,0.0030077494942491287,,sqrt,2,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-33.38965085943038,-3.4502894865210276,-13.721040246591832,-1.820829432156104,-51.20928150586136,-20.718218306112142,18.944779284927073,199
0.7051925659179688,0.08099555867461929,0.00834035873413086,0.0016135967438811046,,sqrt,2,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-28.027541711339275,-4.075603228289595,-12.143246220597502,-1.7944287230527984,-51.436980225557825,-19.495560021767396,18.429382361784295,139
