Date,LIS_Soil_Moisture_0_10cm,LIS_Soil_Moisture_10_40cm,LIS_Soil_Moisture_40_100cm,LIS_Soil_Moisture_100_200cm
2015-01-01,0.10404403507709503,0.2137899100780487,0.22205260396003723,0.24327491223812103
2015-01-02,0.10346797108650208,0.2135447859764099,0.2217976152896881,0.24306505918502808
2015-01-03,0.10296072065830231,0.21331197023391724,0.22155481576919556,0.24286195635795593
2015-01-04,0.10262275487184525,0.21308493614196777,0.2213180959224701,0.24266210198402405
2015-01-05,0.10235971212387085,0.21284201741218567,0.2210674285888672,0.24245497584342957
2015-01-06,0.10180719196796417,0.21259334683418274,0.22081205248832703,0.242245152592659
2015-01-07,0.10133381932973862,0.21235089004039764,0.2205631285905838,0.24203932285308838
2015-01-08,0.10089510679244995,0.21211601793766022,0.22032174468040466,0.24183833599090576
2015-01-09,0.10045348107814789,0.211884543299675,0.22008422017097473,0.24163910746574402
2015-01-10,0.10007977485656738,0.21166259050369263,0.21985599398612976,0.24144482612609863
2015-01-11,0.09976504743099213,0.21145179867744446,0.2196386456489563,0.24125611782073975
2015-01-12,0.09939366579055786,0.21124008297920227,0.21942105889320374,0.2410675287246704
2015-01-13,0.0990639328956604,0.211040660738945,0.21921516954898834,0.2408858835697174
2015-01-14,0.09871348738670349,0.21083015203475952,0.2189997136592865,0.240698903799057
2015-01-15,0.09833717346191406,0.21061235666275024,0.21877796947956085,0.24050849676132202
2015-01-16,0.09800303727388382,0.21040380001068115,0.21856527030467987,0.2403227984905243
2015-01-17,0.0977180078625679,0.2101995348930359,0.21835696697235107,0.2401394546031952
2015-01-18,0.09735731780529022,0.2099880874156952,0.21814250946044922,0.239952951669693
2015-01-19,0.09702685475349426,0.20978832244873047,0.21793913841247559,0.23977306485176086
2015-01-20,0.09671753644943237,0.20959042012691498,0.21773788332939148,0.23959478735923767
2015-01-21,0.09639263153076172,0.20938444137573242,0.21752947568893433,0.23941318690776825
2015-01-22,0.09607817977666855,0.20918363332748413,0.2173263132572174,0.23923444747924805
2015-01-23,0.09577387571334839,0.2089865803718567,0.21712695062160492,0.23905736207962036
2015-01-24,0.09542685747146606,0.2087867707014084,0.21692538261413574,0.23887929320335388
2015-01-25,0.09510870277881622,0.20858511328697205,0.21672245860099792,0.23870065808296204
2015-01-26,0.09479036182165146,0.20838096737861633,0.21651768684387207,0.23852115869522095
2015-01-27,0.09443887323141098,0.20817528665065765,0.21631178259849548,0.2383410632610321
2015-01-28,0.09410262852907181,0.20797055959701538,0.21610704064369202,0.23816195130348206
2015-01-29,0.09377561509609222,0.20777162909507751,0.21590794622898102,0.2379859834909439
2015-01-30,0.09347192198038101,0.20757517218589783,0.21571147441864014,0.23781147599220276
2015-01-31,0.09319905191659927,0.20738136768341064,0.2155175805091858,0.23763920366764069
2015-02-01,0.09306978434324265,0.20719143748283386,0.21532747149467468,0.23746944963932037
2015-02-02,0.09319603443145752,0.2070097029209137,0.21514514088630676,0.2373039871454239
2015-02-03,0.09326782822608948,0.2068367302417755,0.21497109532356262,0.23714318871498108
2015-02-04,0.09304080903530121,0.2066585272550583,0.21479254961013794,0.23697957396507263
2015-02-05,0.09281878173351288,0.2064833641052246,0.21461698412895203,0.23681744933128357
2015-02-06,0.09261352568864822,0.20631326735019684,0.21444645524024963,0.23665820062160492
2015-02-07,0.09241567552089691,0.20615369081497192,0.21428579092025757,0.23650366067886353
2015-02-08,0.09219491481781006,0.20600749552249908,0.21413767337799072,0.23635557293891907
2015-02-09,0.09195515513420105,0.20585684478282928,0.2139856368303299,0.2362062931060791
2015-02-10,0.09171274304389954,0.20569108426570892,0.21381980180740356,0.2360503077507019
2015-02-11,0.09147286415100098,0.2055273950099945,0.21365609765052795,0.23589551448822021
2015-02-12,0.09124152362346649,0.20536792278289795,0.21349649131298065,0.2357431948184967
2015-02-13,0.09097914397716522,0.20520758628845215,0.21333622932434082,0.23559024930000305
2015-02-14,0.09068445861339569,0.20504292845726013,0.21317225694656372,0.2354353368282318
2015-02-15,0.09044930338859558,0.20488092303276062,0.21301087737083435,0.23528242111206055
2015-02-16,0.09023270010948181,0.2047186940908432,0.21284940838813782,0.23512987792491913
2015-02-17,0.09003469347953796,0.2045585662126541,0.21268993616104126,0.2349787801504135
2015-02-18,0.08988743275403976,0.20439878106117249,0.21253091096878052,0.2348286509513855
2015-02-19,0.08970324695110321,0.20423144102096558,0.21236510574817657,0.2346753180027008
2015-02-20,0.08958624303340912,0.20406416058540344,0.21219947934150696,0.23452237248420715
2015-02-21,0.08951887488365173,0.20389693975448608,0.2120339423418045,0.23437032103538513
2015-02-22,0.08932781964540482,0.2037253975868225,0.2118646204471588,0.23421649634838104
2015-02-23,0.08914574235677719,0.20355430245399475,0.21169579029083252,0.23406288027763367
2015-02-24,0.08896896243095398,0.20338982343673706,0.2115333080291748,0.23391258716583252
2015-02-25,0.0887841135263443,0.2032293677330017,0.2113746702671051,0.23376420140266418
2015-02-26,0.08859720826148987,0.20306313037872314,0.21121084690093994,0.23361307382583618
2015-02-27,0.08841114491224289,0.20288771390914917,0.21103869378566742,0.2334580421447754
2015-02-28,0.08822118490934372,0.20270949602127075,0.21086397767066956,0.233302503824234
2015-03-01,0.08805123716592789,0.2025340348482132,0.210691899061203,0.23314839601516724
2015-03-02,0.08788208663463593,0.20236065983772278,0.21052196621894836,0.23299527168273926
2015-03-03,0.0877251923084259,0.20218831300735474,0.21035298705101013,0.23284326493740082
2015-03-04,0.08757970482110977,0.20202113687992096,0.2101888656616211,0.2326940894126892
