Date,LIS_Soil_Moisture_0_10cm,LIS_Soil_Moisture_10_40cm,LIS_Soil_Moisture_40_100cm,LIS_Soil_Moisture_100_200cm
2015-01-01,0.0923197939991951,0.11001703143119812,0.11459748446941376,0.2510133683681488
2015-01-02,0.09169340133666992,0.10942427814006805,0.11395624279975891,0.25086167454719543
2015-01-03,0.09114716947078705,0.10886384546756744,0.1133502721786499,0.2507115304470062
2015-01-04,0.09078867733478546,0.10830472409725189,0.11274543404579163,0.2505630552768707
2015-01-05,0.09019428491592407,0.10775406658649445,0.11214953660964966,0.25041618943214417
2015-01-06,0.08953094482421875,0.10722436010837555,0.11157658696174622,0.2502708435058594
2015-01-07,0.08896440267562866,0.1067144125699997,0.11102516949176788,0.25012698769569397
2015-01-08,0.08847738802433014,0.10623753070831299,0.11050974577665329,0.24998459219932556
2015-01-09,0.08801713585853577,0.10578970611095428,0.1100258082151413,0.24984362721443176
2015-01-10,0.08758924901485443,0.10534311830997467,0.10954329371452332,0.2497040331363678
2015-01-11,0.08733972907066345,0.10493814945220947,0.10910601913928986,0.249565988779068
2015-01-12,0.0872514545917511,0.1045551598072052,0.10869232565164566,0.24942907691001892
2015-01-13,0.08699649572372437,0.10418224334716797,0.10828931629657745,0.2492934912443161
2015-01-14,0.08659680187702179,0.10380803048610687,0.10788482427597046,0.24915921688079834
2015-01-15,0.08620291948318481,0.10344092547893524,0.10748806595802307,0.24902619421482086
2015-01-16,0.08586426079273224,0.10308769345283508,0.10710643231868744,0.24889439344406128
2015-01-17,0.08561792969703674,0.10274376720190048,0.10673481225967407,0.2487637996673584
2015-01-18,0.08524256944656372,0.10240913927555084,0.10637316107749939,0.24863439798355103
2015-01-19,0.08486877381801605,0.10209684073925018,0.10603576898574829,0.24850614368915558
2015-01-20,0.08453947305679321,0.1017845869064331,0.1056983470916748,0.24837902188301086
2015-01-21,0.08420658111572266,0.10147249698638916,0.10536102950572968,0.24825304746627808
2015-01-22,0.08391018211841583,0.10117712616920471,0.10504187643527985,0.24812810122966766
2015-01-23,0.08384446799755096,0.10089211165904999,0.10473384708166122,0.24800431728363037
2015-01-24,0.08357377350330353,0.10060913115739822,0.10442788898944855,0.24788154661655426
2015-01-25,0.08333523571491241,0.10032603144645691,0.10412177443504333,0.2477598339319229
2015-01-26,0.08302751928567886,0.10004939138889313,0.10382258892059326,0.24763911962509155
2015-01-27,0.08271560072898865,0.09978096187114716,0.1035323292016983,0.24751946330070496
2015-01-28,0.08245857805013657,0.09951813519001007,0.10324811935424805,0.24740070104599
2015-01-29,0.08219395577907562,0.0992656797170639,0.10297518968582153,0.2472829520702362
2015-01-30,0.08192108571529388,0.09902003407478333,0.10270966589450836,0.24716618657112122
2015-01-31,0.08173990994691849,0.0987756997346878,0.10244545340538025,0.24705028533935547
2015-02-01,0.08150313049554825,0.09853510558605194,0.10218524187803268,0.2469353973865509
2015-02-02,0.08151830732822418,0.09830259531736374,0.1019338071346283,0.24682140350341797
2015-02-03,0.08244045078754425,0.0980825126171112,0.10169558227062225,0.24670827388763428
2015-02-04,0.08225515484809875,0.09786772727966309,0.10146269202232361,0.24659603834152222
2015-02-05,0.08198902010917664,0.09765773266553879,0.101235032081604,0.246484637260437
2015-02-06,0.08172012865543365,0.09745480120182037,0.10101508349180222,0.24637410044670105
2015-02-07,0.08145807683467865,0.09726038575172424,0.10080456733703613,0.24626445770263672
2015-02-08,0.08122745156288147,0.09707172960042953,0.10060033202171326,0.24615558981895447
2015-02-09,0.0809946209192276,0.09688471257686615,0.10039778053760529,0.24604754149913788
2015-02-10,0.0807606428861618,0.09670159220695496,0.10019949078559875,0.24594028294086456
2015-02-11,0.08052955567836761,0.09652166068553925,0.10000467300415039,0.24583381414413452
2015-02-12,0.08030550181865692,0.09634740650653839,0.09981603175401688,0.24572809040546417
2015-02-13,0.0800832062959671,0.09618887305259705,0.09964463114738464,0.2456231713294983
2015-02-14,0.07983767986297607,0.09603405743837357,0.09947726130485535,0.2455190122127533
2015-02-15,0.07961598038673401,0.09587553143501282,0.09930585324764252,0.2454155683517456
2015-02-16,0.07950142025947571,0.09571906924247742,0.09913671016693115,0.24531283974647522
2015-02-17,0.07933671772480011,0.09556844830513,0.09897392988204956,0.24521088600158691
2015-02-18,0.07921022176742554,0.09541933238506317,0.09881270676851273,0.24510961771011353
2015-02-19,0.07903076708316803,0.0952690988779068,0.0986502468585968,0.24500903487205505
2015-02-20,0.07890143245458603,0.09512628614902496,0.09849581122398376,0.24490919709205627
2015-02-21,0.07874265313148499,0.09498690068721771,0.09834511578083038,0.24480995535850525
2015-02-22,0.07856862246990204,0.09484602510929108,0.09819276630878448,0.24471142888069153
2015-02-23,0.07840460538864136,0.09470534324645996,0.0980406105518341,0.24461357295513153
2015-02-24,0.07824179530143738,0.09456811845302582,0.09789227694272995,0.24451637268066406
2015-02-25,0.07807698845863342,0.09443415701389313,0.09774741530418396,0.24441981315612793
2015-02-26,0.0779229924082756,0.09430303424596786,0.09760567545890808,0.24432390928268433
2015-02-27,0.0777706727385521,0.09417521953582764,0.09746754169464111,0.24422866106033325
2015-02-28,0.07761524617671967,0.09404824674129486,0.09733033180236816,0.24413394927978516
2015-03-01,0.07747089862823486,0.09392502903938293,0.09719717502593994,0.24403992295265198
2015-03-02,0.07733051478862762,0.09380561113357544,0.0970681831240654,0.24394652247428894
2015-03-03,0.07719923555850983,0.09368882328271866,0.09694209694862366,0.2438535988330841
2015-03-04,0.07707291096448898,0.09357333928346634,0.09681742638349533,0.2437613308429718
