Latitude,Longitude,PREDICTED_GROUNDWATER_LEVEL
13.48834562,-16.6706159583,2.086645435989279
13.4883763217,-16.6659979412,2.0817245138996974
13.4837337841,-16.6844382698,1.0610888401757386
13.4837647298,-16.6798203741,2.398843884676438
13.4837955906,-16.6752024668,1.1855514875502209
13.4838263665,-16.670584548,10.661538977758601
13.4838570576,-16.6659666176,6.65697840095099
13.4791524378,-16.6936421931,-0.1319136252894939
13.4791835423,-16.6890244074,1.7803573496492984
13.4792145621,-16.6844066109,-4.835368727063514
13.479245497,-16.6797888019,15.70192100690587
13.4792763471,-16.6751709813,9.550435383147303
13.4793071123,-16.6705531492,7.484900036357397
13.4793377928,-16.6659353056,4.700500692646429
13.4793683884,-16.6613174505,1.5460011586509665
13.4746020561,-16.69822806,2.2753219060592897
13.4746332347,-16.6936103726,11.017800502143327
13.4746643285,-16.6889926735,16.710253461945754
13.4746953374,-16.6843749637,17.536269582433917
13.4747262616,-16.6797572413,3.951690663859477
13.474757101,-16.6751395074,7.6381393192046545
13.4747878555,-16.6705217619,6.7126175937345565
13.4748185253,-16.665904005,2.957073696560961
13.4748491103,-16.6612862365,7.042566343476308
13.4748796104,-16.6566684576,3.9714137427053604
13.4749100257,-16.6520506663,2.132262480497138
13.4749403563,-16.6474328636,0.25977591578666015
13.474970602,-16.6428150496,1.8198521822070504
13.4750007629,-16.6381972242,0.14008504055069615
13.4751205585,-16.6197258112,0.0013266216284737453
13.4751502953,-16.6151079297,1.253905835870782
13.4751799474,-16.6104900371,1.2101894313731592
13.4700516097,-16.7028137536,1.396801261462853
13.4700828622,-16.6981961645,5.496811327383153
13.47011403,-16.6935785637,14.349375673867584
13.4701451129,-16.6889609512,15.663515162199488
13.4701761111,-16.684343328,12.69365012144652
13.4702070245,-16.6797256923,9.13782204576733
13.4702378532,-16.675108045,8.274773887812062
13.470268597,-16.6704903862,11.410814978786298
13.4702992561,-16.6658727159,3.1518077624576044
13.4703298305,-16.661255034,3.5163290873111404
13.47036032,-16.6566373417,5.881720107986997
13.4703907248,-16.6520196371,10.152558383541457
13.4704210448,-16.647401921,8.300711258897236
13.47045128,-16.6427841936,6.618753636481921
13.4704814304,-16.6381664549,4.868928186249573
13.4705114961,-16.6335487049,1.480507313709989
13.4705414769,-16.6289309437,-1.3172334375159167
13.470571373,-16.6243131721,-1.5980170787559551
13.4706011843,-16.6196953884,5.542306990897174
13.4706309108,-16.6150775936,9.3432492651654
13.4706605526,-16.6104597877,1.5216192119079874
13.4706901095,-16.6058419706,3.2260498437841427
13.4707195817,-16.6012241425,0.1691028246927786
13.4655010986,-16.7073992739,0.8005281850750059
13.465532425,-16.7027817832,6.18837363132703
13.4655636666,-16.6981642806,12.632429778811577
13.4655948235,-16.6935467664,10.917842126109235
13.4656258957,-16.6889292406,10.854248563271675
13.4656568831,-16.684311704,10.454139516830697
13.4656877857,-16.6796941548,10.666901015348191
13.4657186037,-16.6750765942,9.169659236960525
13.4657493369,-16.6704590219,8.803177203058187
13.4657799853,-16.6658414382,7.52908036416537
13.465810549,-16.661223843,4.5919493623605945
13.4658410279,-16.6566062373,4.236864910857225
13.4658714221,-16.6519886192,6.81386695221803
13.4659017316,-16.6473709898,2.705445390490869
13.4659319563,-16.642753349,6.837140186026559
13.4659620962,-16.6381356969,8.03681627857287
13.4659921514,-16.6335180335,6.2628367035106045
13.4660221219,-16.6289003589,2.563947848808537
13.4660520076,-16.6242826739,5.95524379935776
13.4660818085,-16.6196649769,9.337335546595577
13.4661115247,-16.6150472687,9.78422435825706
13.4661411561,-16.6104295493,9.13130325651675
13.4661707028,-16.6058118189,0.8827031725686183
13.4662001647,-16.6011940774,0.34126177851558737
13.4662295418,-16.5965763249,1.4297656832310768
13.4609505229,-16.7119846212,-0.5995338428394792
13.4609819231,-16.7073672287,2.6501062336023757
13.4610132385,-16.7027498245,8.162273607599152
13.4610444693,-16.6981324085,7.839302323335717
13.4610756154,-16.6935149809,4.496541144812328
13.4611066767,-16.6888975415,8.19209837714402
13.4611376533,-16.6842800915,9.426575234323542
13.4611685453,-16.679662629,13.058666394910572
13.4611993525,-16.6750451549,10.471153878695095
13.461230075,-16.6704276692,9.466496349313136
13.4612607128,-16.665810172,7.093795521094174
13.4612912658,-16.6611926634,7.7679058447227085
13.4613217342,-16.6565751442,7.027318309971665
13.4613521178,-16.6519576128,9.57513721001838
13.4613824167,-16.6473400699,5.937617240714543
13.4614126309,-16.6427225157,8.624248396237515
13.4614427603,-16.6381049501,9.786845798338753
13.4614728051,-16.6334873733,10.585720181207636
13.4615027651,-16.6288697853,4.789722123099731
13.4615326404,-16.6242521869,9.120765425717938
13.461562431,-16.6196345764,12.33664822032424
13.4615921368,-16.6150169548,10.999466729986114
13.4616217579,-16.6103993221,14.244917756388716
13.4616512943,-16.6057816782,12.491900743255552
13.461680746,-16.6011640233,5.939731305735288
13.4617101129,-16.5965463574,2.3184634061600597
13.4617393951,-16.5919286814,-0.14403109533123626
13.4617685926,-16.5873109935,1.4974851476968407
13.4617977053,-16.5826932946,7.321786792919786
13.4618267333,-16.5780755849,0.6039636426223467
13.4563998826,-16.7165697953,-0.6300998745720392
13.4564313566,-16.7119525011,6.7467897878810685
13.4564627458,-16.7073351952,7.483618086212569
13.4564940504,-16.7027178775,11.525093860214122
13.4565252703,-16.6981005481,5.342220933916151
13.4565564055,-16.693483207,9.743149769145086
13.4565874561,-16.6888658542,8.020555576366874
13.4566184219,-16.6842484907,10.16246872762494
13.4566493031,-16.6796311147,11.912408024808068
13.4566800996,-16.6750137271,11.51152426972271
13.4567108114,-16.670396328,9.031076095915711
13.4567414385,-16.6657789173,6.111223377650978
13.456771981,-16.6611614952,5.880070122151031
13.4568024387,-16.6565440626,4.721676219168542
13.4568328117,-16.6519266177,10.365416262518146
13.4568631001,-16.6473091614,7.876001218845474
13.4568933038,-16.6426916937,9.587942355109327
13.4569234228,-16.6380742147,8.852621049543561
13.4569534571,-16.6334567244,4.718477828728469
13.4569834067,-16.6288392229,7.055304718504658
13.4570132716,-16.6242217111,8.833241071864373
13.4570430518,-16.6196041872,12.784504486690288
13.4570727473,-16.6149866521,12.792023845738822
13.4571023581,-16.6103691059,10.700400906117704
13.4571318842,-16.6057515486,8.782469107769986
13.4571613256,-16.6011339802,7.630002769554514
13.4571906823,-16.5965164009,6.402389917993009
13.4572199543,-16.5918988114,1.3885712756332076
13.4572491416,-16.5872812101,2.8008455716538663
13.4572782442,-16.5826635978,3.314480544686651
13.4573072621,-16.5780459746,3.0459759627701395
13.4573361953,-16.5734283405,0.9471980366372819
13.4573650438,-16.5688106957,0.5290511765081476
13.4518491779,-16.7211547955,4.903551861941793
13.4518807256,-16.7165376005,4.406435075669762
13.4519121886,-16.7119203929,11.924744956958417
13.4519435669,-16.7073031735,10.131401014820787
13.4519748606,-16.7026859423,10.459056620008674
13.4520060696,-16.6980686993,8.421816477293632
13.452037194,-16.6934514447,8.248026537824094
13.4520682337,-16.6888341784,9.298864228371702
13.4520991888,-16.6842169014,9.235900048267759
13.4521300592,-16.6795996119,11.580494862970305
13.452160845,-16.6749823108,9.270093788271675
13.4521915461,-16.6703649982,7.619564192116108
13.4522221626,-16.6657476741,6.221035462547912
13.4522526944,-16.6611303385,5.891804898680467
13.4522831415,-16.6565129924,5.579964986058778
13.452313504,-16.651895634,9.880841705966887
13.4523437818,-16.6472782642,6.236851952271559
13.452373975,-16.642660883,7.383183877731355
13.4524040835,-16.6380434905,3.6900150156710545
13.4524341073,-16.6334260868,5.8780593597553334
13.4524640465,-16.6288086718,6.960050353553523
13.452493901,-16.6241912465,8.930929705904653
13.4525236709,-16.6195738091,8.814384674917326
13.452553356,-16.6149563605,10.885879007210491
13.4525829565,-16.6103389008,10.459251584776124
13.4526124724,-16.60572143,10.891107229920824
13.4526419035,-16.6011039482,11.230293704887345
13.45267125,-16.5964864553,6.594181279690105
13.4527005119,-16.5918689524,5.621866591848727
13.452729689,-16.5872514376,2.197016481149296
13.4527587815,-16.5826339118,2.867968376162132
13.4527877893,-16.5780163752,1.4335216522935514
13.4528167124,-16.5733988277,4.23258383542942
13.4528455509,-16.5687812693,0.33659688745927063
13.4473300311,-16.7211225261,5.0385763249281545
13.4473615677,-16.7165054176,12.953676742804454
13.4473930198,-16.7118882965,13.717680276499223
13.4474243872,-16.7072711635,10.317262666218905
13.44745567,-16.7026540187,13.028357587751673
13.4474868681,-16.6980368623,11.790994407507082
13.4475179817,-16.6934196941,9.397698712199468
13.4475490106,-16.6888025143,9.034809203026912
13.4475799549,-16.6841853238,12.161124859247334
13.4476108146,-16.6795681208,10.104159856250643
13.4476415896,-16.6749509062,8.83744621000589
13.4476722801,-16.67033368,9.696323330673962
13.4477028859,-16.6657164424,6.348024427064798
13.4477334071,-16.6610991933,6.033940994662557
13.4477638436,-16.6564819336,10.12129057587201
13.4477941955,-16.6518646617,11.664617340351258
13.4478244628,-16.6472473783,11.26262522922034
13.4478546454,-16.6426300836,6.513954721127321
13.4478847435,-16.6380127776,9.070104224426734
13.4479147568,-16.6333954604,9.457499147579881
13.4479446856,-16.6287781319,13.208963901544095
13.4479745297,-16.624160793,13.427121801467893
13.4480042892,-16.6195434421,16.084598374383628
13.448033964,-16.61492608,11.800996268524075
13.4480635542,-16.6103087068,9.69869530493897
13.4480930598,-16.6056913225,12.370458387394295
13.4481224807,-16.6010739272,11.090937726677618
13.448151817,-16.5964565208,8.472825441946126
13.4481810686,-16.5918391044,2.054209092088332
13.4482102356,-16.587221676,4.877634818515471
13.448239318,-16.5826042368,-0.32471629865300145
13.4482683157,-16.5779867866,2.342364156597764
13.4482972287,-16.5733693256,3.8768732331641624
13.4483260571,-16.5687518537,0.3921102758465871
13.4427792714,-16.7257072797,-1.3923355032633893
13.4428108816,-16.7210902686,12.898205714822662
13.4428424073,-16.7164732466,15.242593715897186
13.4428738484,-16.7118562118,16.28175673476181
13.4429052048,-16.7072391653,12.976320104067353
13.4429364767,-16.702622107,12.403617385411597
13.442967664,-16.6980050369,13.136848114964021
13.4429987668,-16.6933879552,10.792664765802847
13.4430297849,-16.6887708618,8.567905713154481
13.4430607184,-16.6841537578,13.855382655094033
13.4430915673,-16.6795366412,10.953699453772444
13.4431223317,-16.674919513,8.596083892842298
13.4431530114,-16.6703023733,8.061187870559397
13.4431836066,-16.6656852221,8.001044742996571
13.4432141171,-16.6610680594,6.9228330684435715
13.4432445431,-16.6564508862,9.335060276372722
13.4432748844,-16.6518337007,10.589496955870201
13.4433051411,-16.6472165038,10.609329753036068
13.4433353133,-16.6425992956,13.16030720460449
13.4433654008,-16.637982076,7.926630780977495
13.4433954038,-16.6333648452,11.386495695230352
13.4434253221,-16.6287476031,12.573685202980238
13.4434551558,-16.6241303508,13.028896987548382
13.4434849049,-16.6195130863,13.753621142268528
13.4435145694,-16.6148958107,13.114343329454648
13.4435441493,-16.6102785239,10.90438498918782
13.4435736446,-16.6056612261,5.25075853024846
13.4436030553,-16.6010439172,3.391897382718266
13.4436323813,-16.5964265973,1.6586046525686893
13.4437198518,-16.5825745726,-0.7588937553179385
13.4437488394,-16.5779572089,1.4560782439402722
13.4437777424,-16.5733398344,2.416480181433718
13.4438065608,-16.568722449,0.3131005264877409
13.4382601312,-16.7256749476,10.493605564833382
13.4382917305,-16.7210580229,14.136744284234219
13.4383232451,-16.7164410873,14.161122681441556
13.4383546753,-16.7118241389,9.164579919416429
13.4383860208,-16.7072071788,14.449439744843492
13.4384172818,-16.7025902069,12.734927156678708
13.4384484583,-16.6979732233,9.87101141416954
13.4384795502,-16.693356228,11.337456742627051
13.4385105575,-16.688739221,9.35436835006745
13.4385414802,-16.6841222033,12.35147643154987
13.4385723184,-16.6795051731,9.942873834805066
13.438603072,-16.6748881314,10.757595592511755
13.4386337411,-16.6702710781,6.354542033473742
13.4386643256,-16.6656540133,4.399037445440628
13.4386948255,-16.661036937,5.293319557192539
13.4387252408,-16.6564198502,6.636308955431159
13.4387555716,-16.6518027511,11.029688503492753
13.4387858178,-16.6471856407,12.173896935151818
13.4388159794,-16.6425685188,7.210496403076988
13.4388460565,-16.6379513857,10.556053395740006
13.438876049,-16.6333342413,11.016895032486946
13.4389059569,-16.6287170857,11.782651751866421
13.4389357802,-16.6240999197,11.710332748205746
13.438965519,-16.6194827417,8.97546873626105
13.4389951731,-16.6148655525,10.714394153109442
13.4390247427,-16.6102483521,3.861974965055638
13.4392582545,-16.573310354,0.33027080987898216
13.4337093166,-16.7302594538,4.035721348512036
13.4337409894,-16.7256426274,19.743229489751357
13.4337725776,-16.7210257891,17.984925421177543
13.4338040813,-16.7164089398,16.474016563322365
13.4338355005,-16.7117920778,14.809845077011556
13.4338668351,-16.7071752041,13.373992894616395
13.4338980852,-16.7025583185,12.535975375123995
