Date,LIS_ET
2015-01-01,0.8112955093383789
2015-01-02,0.7570919990539551
2015-01-03,0.7418860197067261
2015-01-04,0.7523857355117798
2015-01-05,0.7371217012405396
2015-01-06,0.6934489607810974
2015-01-07,0.6612647175788879
2015-01-08,0.5665543079376221
2015-01-09,0.6120652556419373
2015-01-10,0.5582106113433838
2015-01-11,0.5088948607444763
2015-01-12,0.5029904246330261
2015-01-13,0.477284699678421
2015-01-14,0.49102717638015747
2015-01-15,0.4677232503890991
2015-01-16,0.44663262367248535
2015-01-17,0.4450490176677704
2015-01-18,0.41267794370651245
2015-01-19,0.3771602511405945
2015-01-20,0.403057336807251
2015-01-21,0.3745116591453552
2015-01-22,0.358909547328949
2015-01-23,0.4062901735305786
2015-01-24,0.35845857858657837
2015-01-25,0.35401660203933716
2015-01-26,0.3344874978065491
2015-01-27,0.3255036771297455
2015-01-28,0.31575852632522583
2015-01-29,0.29951053857803345
2015-01-30,0.29392725229263306
2015-01-31,0.29140764474868774
2015-02-01,0.2753556966781616
2015-02-02,0.2915138900279999
2015-02-03,0.24614596366882324
2015-02-04,0.24779322743415833
2015-02-05,0.235846608877182
2015-02-06,0.23116010427474976
2015-02-07,0.22545327246189117
2015-02-08,0.20957282185554504
2015-02-09,0.2065703272819519
2015-02-10,0.19716566801071167
2015-02-11,0.19296513497829437
2015-02-12,0.1863357126712799
2015-02-13,0.13457176089286804
2015-02-14,0.17267954349517822
2015-02-15,0.1750469207763672
2015-02-16,0.16560408473014832
2015-02-17,0.15982946753501892
2015-02-18,0.16387063264846802
2015-02-19,0.15118372440338135
2015-02-20,0.14101135730743408
2015-02-21,0.14456602931022644
2015-02-22,0.14555099606513977
2015-02-23,0.1454528272151947
2015-02-24,0.14153383672237396
2015-02-25,0.13984335958957672
2015-02-26,0.1312970221042633
2015-02-27,0.1307220458984375
2015-02-28,0.12970875203609467
2015-03-01,0.12483405321836472
2015-03-02,0.12148294597864151
2015-03-03,0.11770668625831604
2015-03-04,0.11770196259021759
2015-03-05,0.11644669622182846
2015-03-06,0.10865554213523865
2015-03-07,0.10442814230918884
2015-03-08,0.10260313004255295
2015-03-09,0.08868984878063202
2015-03-10,0.09516739845275879
2015-03-11,0.09881124645471573
2015-03-12,0.0950905829668045
2015-03-13,0.08532004803419113
2015-03-14,0.09326885640621185
2015-03-15,0.08867223560810089
2015-03-16,0.0889664888381958
2015-03-17,0.0842113196849823
2015-03-18,0.1716894954442978
2015-03-19,0.1446782648563385
2015-03-20,0.10060866177082062
2015-03-21,0.1119106188416481
2015-03-22,0.08893317729234695
2015-03-23,0.08711694180965424
2015-03-24,0.08463305234909058
2015-03-25,0.08595514297485352
2015-03-26,0.08314763754606247
2015-03-27,0.08114723861217499
2015-03-28,0.07132411003112793
2015-03-29,0.07254630327224731
2015-03-30,0.07371705770492554
2015-03-31,0.07063955068588257
2015-04-01,0.068290114402771
2015-04-02,0.06448322534561157
2015-04-03,0.06524229049682617
2015-04-04,0.0696617141366005
2015-04-05,0.059831246733665466
2015-04-06,0.05738662928342819
2015-04-07,0.05612756684422493
2015-04-08,0.05374046787619591
2015-04-09,0.0564887598156929
2015-04-10,0.048925187438726425
2015-04-11,0.04991171509027481
2015-04-12,0.047829098999500275
2015-04-13,0.04436017572879791
2015-04-14,0.04500184953212738
2015-04-15,0.04408249631524086
2015-04-16,0.04359522461891174
2015-04-17,0.04252754896879196
2015-04-18,0.04155147075653076
2015-04-19,0.04054965078830719
2015-04-20,0.039818983525037766
2015-04-21,0.03875507414340973
2015-04-22,0.038650356233119965
2015-04-23,0.03876062482595444
2015-04-24,0.03704709932208061
2015-04-25,0.03667174652218819
2015-04-26,0.03538215905427933
2015-04-27,0.03433844447135925
2015-04-28,0.021417170763015747
2015-04-29,0.03142920881509781
2015-04-30,0.030114855617284775
2015-05-01,0.03602372109889984
2015-05-02,0.028247278183698654
2015-05-03,0.0005069832550361753
2015-05-04,0.04069637507200241
2015-05-05,0.03943910449743271
2015-05-06,0.04088906571269035
2015-05-07,0.016624880954623222
2015-05-08,0.04638506472110748
2015-05-09,0.03649692237377167
2015-05-10,0.03725229203701019
2015-05-11,0.02396162413060665
2015-05-12,0.03676478564739227
2015-05-13,0.037538737058639526
2015-05-14,0.03751157224178314
2015-05-15,0.038926463574171066
2015-05-16,0.024528000503778458
2015-05-17,0.031727347522974014
2015-05-18,0.03550681099295616
2015-05-19,0.03436463326215744
2015-05-20,0.03493155539035797
2015-05-21,0.03491682931780815
2015-05-22,0.10032187402248383
2015-05-23,0.05605535954236984
2015-05-24,0.05643820762634277
2015-05-25,0.05341915041208267
2015-05-26,0.053254105150699615
2015-05-27,0.05271899327635765
2015-05-28,0.051686424762010574
2015-05-29,0.046106092631816864
2015-05-30,0.044169288128614426
2015-05-31,0.04269188642501831
2015-06-01,0.04158879816532135
2015-06-02,0.03870402276515961
2015-06-03,0.20335698127746582
2015-06-04,0.09260065853595734
2015-06-05,0.08424699306488037
2015-06-06,0.08736512809991837
2015-06-07,0.08919677138328552
2015-06-08,0.07958128303289413
2015-06-09,0.0758514478802681
2015-06-10,0.07546257972717285
2015-06-11,0.06345951557159424
2015-06-12,0.1729271411895752
2015-06-13,0.1090814471244812
2015-06-14,0.10731319338083267
2015-06-15,0.0997902899980545
2015-06-16,0.2730475664138794
2015-06-17,2.10172700881958
2015-06-18,1.304029107093811
2015-06-19,1.051621913909912
2015-06-20,0.8552256226539612
2015-06-21,0.6786215305328369
2015-06-22,0.5853400826454163
2015-06-23,0.5355260372161865
