Date,LIS_ET
2015-01-01,1.1369166374206543
2015-01-02,1.0804787874221802
2015-01-03,1.0934209823608398
2015-01-04,1.130584716796875
2015-01-05,1.155975103378296
2015-01-06,1.0908935070037842
2015-01-07,1.013925075531006
2015-01-08,0.885460376739502
2015-01-09,0.9583722352981568
2015-01-10,0.8716236352920532
2015-01-11,0.7969123125076294
2015-01-12,0.8227850198745728
2015-01-13,0.7976287603378296
2015-01-14,0.8725994825363159
2015-01-15,0.8566697835922241
2015-01-16,0.8077707886695862
2015-01-17,0.8242602944374084
2015-01-18,0.7951574325561523
2015-01-19,0.7439653277397156
2015-01-20,0.7685884237289429
2015-01-21,0.7302535772323608
2015-01-22,0.692780077457428
2015-01-23,0.7166545391082764
2015-01-24,0.7283614873886108
2015-01-25,0.7378664016723633
2015-01-26,0.7262593507766724
2015-01-27,0.7043195962905884
2015-01-28,0.700593888759613
2015-01-29,0.6673799753189087
2015-01-30,0.6657519340515137
2015-01-31,0.6298038959503174
2015-02-01,0.611453115940094
2015-02-02,0.5326937437057495
2015-02-03,0.5050727128982544
2015-02-04,0.5341253280639648
2015-02-05,0.5257118940353394
2015-02-06,0.558080792427063
2015-02-07,0.5452303886413574
2015-02-08,0.4797669947147369
2015-02-09,0.4696771502494812
2015-02-10,0.4609048962593078
2015-02-11,0.4540164172649383
2015-02-12,0.4378434717655182
2015-02-13,0.2799152135848999
2015-02-14,0.4736109375953674
2015-02-15,0.4699249267578125
2015-02-16,0.4602302610874176
2015-02-17,0.4644423127174377
2015-02-18,0.4533045291900635
2015-02-19,0.3837223052978515
2015-02-20,0.4028992652893066
2015-02-21,0.4019020199775696
2015-02-22,0.4199078679084778
2015-02-23,0.4212055802345276
2015-02-24,0.4164696931838989
2015-02-25,0.4026986062526703
2015-02-26,0.3959144055843353
2015-02-27,0.4034209251403808
2015-02-28,0.3984996080398559
2015-03-01,0.3842955827713012
2015-03-02,0.3755117058753967
2015-03-03,0.3639117479324341
2015-03-04,0.3585967123508453
2015-03-05,0.3443312644958496
2015-03-06,0.324035495519638
2015-03-07,0.3129591941833496
2015-03-08,0.2681404054164886
2015-03-09,0.2321615070104599
2015-03-10,0.27424156665802
2015-03-11,0.296558678150177
2015-03-12,0.3109499514102936
2015-03-13,0.2958733737468719
2015-03-14,0.2981689572334289
2015-03-15,0.2929559051990509
2015-03-16,0.2830507159233093
2015-03-17,0.2676315605640411
2015-03-18,0.5156697034835815
2015-03-19,0.5126848220825195
2015-03-20,0.3939699530601501
2015-03-21,0.3601635694503784
2015-03-22,0.3094168901443481
2015-03-23,0.3179212808609009
2015-03-24,0.3130644559860229
2015-03-25,0.3164989352226257
2015-03-26,0.3158207535743713
2015-03-27,0.3049395084381103
2015-03-28,0.2888980507850647
2015-03-29,0.2914893627166748
2015-03-30,0.2831190526485443
2015-03-31,0.258873701095581
2015-04-01,0.2557116150856018
2015-04-02,0.2432275563478469
2015-04-03,0.2303740680217743
2015-04-04,0.2225655913352966
2015-04-05,0.1909251511096954
2015-04-06,0.1821717470884323
2015-04-07,0.1863641440868377
2015-04-08,0.1911048144102096
2015-04-09,0.1686362773180008
2015-04-10,0.1788414269685745
2015-04-11,0.1690617501735687
2015-04-12,0.1579948663711547
2015-04-13,0.1540109813213348
2015-04-14,0.1253425329923629
2015-04-15,0.1358929276466369
2015-04-16,0.1258793771266937
2015-04-17,0.1213993430137634
2015-04-18,0.1173732727766037
2015-04-19,0.1174899116158485
2015-04-20,0.1110360324382782
2015-04-21,0.1071383580565452
2015-04-22,0.1096490323543548
2015-04-23,0.1086956933140754
2015-04-24,0.1095054149627685
2015-04-25,0.0979315042495727
2015-04-26,0.0872500166296958
2015-04-27,0.0792140662670135
2015-04-28,0.0235970076173543
2015-04-29,0.0570212826132774
2015-04-30,0.0824922621250152
2015-05-01,0.0963115096092224
2015-05-02,0.0639740154147148
2015-05-03,0.0143536273390054
2015-05-04,0.0824550241231918
2015-05-05,0.1104251742362976
2015-05-06,0.1005487293004989
2015-05-07,0.047958668321371
2015-05-08,0.098858006298542
2015-05-09,0.0719513297080993
2015-05-10,0.0833384841680526
2015-05-11,0.0437283366918563
2015-05-12,0.0838291198015213
2015-05-13,0.0892659872770309
2015-05-14,0.088071770966053
2015-05-15,0.0825564265251159
2015-05-16,0.0606360659003257
2015-05-17,0.06687992811203
2015-05-18,0.0798245444893837
2015-05-19,0.0766525268554687
2015-05-20,0.0809569731354713
2015-05-21,0.0826936513185501
2015-05-22,0.0832244008779525
2015-05-23,0.0914368331432342
2015-05-24,0.0913995057344436
2015-05-25,0.0884129554033279
2015-05-26,0.0946299880743026
2015-05-27,0.0925832018256187
2015-05-28,0.0918408632278442
2015-05-29,0.0779453665018081
2015-05-30,0.0793931186199188
2015-05-31,0.0779667794704437
2015-06-01,0.064218670129776
2015-06-02,0.055897906422615
2015-06-03,0.1127318069338798
2015-06-04,0.0946163833141326
2015-06-05,0.0883177146315574
2015-06-06,0.0923900827765464
2015-06-07,0.0995009690523147
2015-06-08,0.0894638001918792
2015-06-09,0.0858329683542251
2015-06-10,0.0834398120641708
2015-06-11,0.0739232301712036
2015-06-12,0.1322598159313202
2015-06-13,0.1481083333492279
2015-06-14,0.1895722448825836
2015-06-15,0.1795684993267059
2015-06-16,0.2048723548650741
2015-06-17,0.9545040726661682
2015-06-18,0.8050528168678284
2015-06-19,0.6648457050323486
2015-06-20,0.5768085718154907
2015-06-21,0.496093213558197
2015-06-22,0.4392965137958526
2015-06-23,0.4252002537250519
2015-06-24,0.4012824892997741
