Date,NASA_IMERG_Late
2015-09-21,8.199999809265137
2015-09-22,7.599999904632568
2015-09-23,0.4000000059604645
2015-09-24,4.099999904632568
2015-09-25,0.0
2015-09-26,54.900001525878906
2015-09-27,21.899999618530277
2015-09-28,0.699999988079071
2015-09-29,21.5
2015-09-30,12.5
2015-10-01,15.90000057220459
2015-10-02,0.0
2015-10-03,3.900000095367432
2015-10-04,0.4000000059604645
2015-10-05,0.0
2015-10-06,25.399999618530277
2015-10-07,3.400000095367432
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,0.0
2015-10-13,21.5
2015-10-14,0.699999988079071
2015-10-15,5.0
2015-10-16,12.100000381469728
2015-10-17,0.2000000029802322
2015-10-18,0.0
2015-10-19,0.3000000119209289
2015-10-20,17.899999618530273
2015-10-21,10.800000190734863
2015-10-22,0.9000000357627869
2015-10-23,78.5
2015-10-24,0.0
2015-10-25,0.3000000119209289
2015-10-26,0.0
2015-10-27,0.4000000059604645
2015-10-28,0.0
2015-10-29,0.0
2015-10-30,0.0
2015-10-31,0.800000011920929
2015-11-01,2.700000047683716
2015-11-02,0.4000000059604645
2015-11-03,7.800000190734863
2015-11-04,0.0
2015-11-05,0.0
2015-11-06,0.0
2015-11-07,0.0
2015-11-08,0.0
2015-11-09,0.0
2015-11-10,0.0
2015-11-11,0.0
2015-11-12,0.1000000014901161
2015-11-13,0.1000000014901161
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,0.0
2015-11-17,0.9000000357627869
2015-11-18,0.0
2015-11-19,0.1000000014901161
2015-11-20,0.0
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,1.8000000715255735
2015-11-24,0.0
2015-11-25,0.1000000014901161
2015-11-26,0.0
2015-11-27,0.0
2015-11-28,0.0
2015-11-29,0.3000000119209289
2015-11-30,0.3000000119209289
2015-12-01,0.3000000119209289
2015-12-02,0.0
2015-12-03,0.0
2015-12-04,0.0
2015-12-05,0.0
2015-12-06,0.0
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,0.0
2015-12-10,0.0
2015-12-11,0.3000000119209289
2015-12-12,0.0
2015-12-13,0.1000000014901161
2015-12-14,0.0
2015-12-15,0.6000000238418579
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,0.0
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,0.0
2015-12-25,0.0
2015-12-26,0.1000000014901161
2015-12-27,2.1000001430511475
2015-12-28,4.5
2015-12-29,0.0
2015-12-30,3.0
2015-12-31,0.0
2016-01-01,0.1000000014901161
2016-01-02,0.0
2016-01-03,0.4000000059604645
2016-01-04,14.100000381469728
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.0
2016-01-09,0.0
2016-01-10,0.0
2016-01-11,0.0
2016-01-12,0.0
2016-01-13,0.1000000014901161
2016-01-14,0.0
2016-01-15,0.0
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,0.0
2016-01-19,0.0
2016-01-20,0.0
2016-01-21,0.0
2016-01-22,0.2000000029802322
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,0.0
2016-01-26,0.0
2016-01-27,0.3000000119209289
2016-01-28,0.1000000014901161
2016-01-29,0.0
2016-01-30,0.0
2016-01-31,0.0
2016-02-01,0.0
2016-02-02,0.0
2016-02-03,0.0
2016-02-04,0.0
2016-02-05,0.0
2016-02-06,0.0
2016-02-07,0.0
2016-02-08,0.0
2016-02-09,0.0
2016-02-10,0.0
2016-02-11,0.0
2016-02-12,0.800000011920929
2016-02-13,0.0
2016-02-14,0.0
2016-02-15,0.0
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,0.0
2016-02-20,2.0
2016-02-21,0.800000011920929
2016-02-22,0.0
2016-02-23,0.0
2016-02-24,0.0
2016-02-25,0.0
2016-02-26,0.0
2016-02-27,0.0
2016-02-28,0.1000000014901161
2016-02-29,0.1000000014901161
2016-03-01,2.200000047683716
2016-03-02,0.800000011920929
2016-03-03,0.0
2016-03-04,0.4000000059604645
2016-03-05,0.1000000014901161
2016-03-06,0.0
2016-03-07,0.0
2016-03-08,0.0
2016-03-09,0.0
2016-03-10,0.0
2016-03-11,0.0
2016-03-12,0.0
2016-03-13,0.0
2016-03-14,0.0
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,0.0
2016-03-19,0.0
2016-03-20,0.0
2016-03-21,0.0
2016-03-22,0.0
2016-03-23,0.0
2016-03-24,0.1000000014901161
2016-03-25,0.0
2016-03-26,0.0
2016-03-27,0.0
2016-03-28,0.0
2016-03-29,0.0
2016-03-30,0.0
2016-03-31,0.0
2016-04-01,0.0
2016-04-02,0.0
2016-04-03,0.0
2016-04-04,0.0
2016-04-05,0.0
2016-04-06,0.0
2016-04-07,0.0
2016-04-08,0.0
2016-04-09,0.0
2016-04-10,0.0
2016-04-11,0.0
2016-04-12,0.0
2016-04-13,0.0
2016-04-14,0.0
2016-04-15,0.0
2016-04-16,0.0
2016-04-17,0.0
2016-04-18,0.0
2016-04-19,0.0
2016-04-20,0.0
2016-04-21,0.0
2016-04-22,0.0
2016-04-23,0.0
2016-04-24,0.0
2016-04-25,0.0
2016-04-26,0.0
2016-04-27,0.0
2016-04-28,0.0
2016-04-29,0.0
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.5
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.1000000014901161
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.1000000014901161
2016-05-28,0.5
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.2000000029802322
2016-06-02,0.4000000059604645
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.1000000014901161
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.2000000029802322
2016-06-13,0.3000000119209289
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
