long,lat,Drainage_density,Slope_tif2,Hydrogeo,Curvatu_tif2,NASADEM_HGT
-16.6706159583,13.48834562,13.49949550628662,0.0,5.0,-0.0,0.0
-16.6659979412,13.4883763217,14.573663711547852,0.0,5.0,-0.0,0.0
-16.6844382698,13.4837337841,15.60971450805664,0.0,5.0,-0.0,0.0
-16.6798203741,13.4837647298,13.571120262145996,0.0,5.0,-0.0,0.0
-16.6752024668,13.4837955906,13.92287254333496,0.0,5.0,-0.0,0.0
-16.670584548,13.4838263665,16.095518112182617,5.179785251617432,5.0,9072000000.0,25.0
-16.6659666176,13.4838570576,18.69280815124512,2.102442502975464,5.0,-0.0,6.0
-16.6936421931,13.4791524378,25.523223876953125,0.0,5.0,-0.0,0.0
-16.6890244074,13.4791835423,26.205150604248047,0.0,5.0,-0.0,0.0
-16.6844066109,13.4792145621,26.15681266784668,12.892974853515623,5.0,14256000000.0,21.0
-16.6797888019,13.479245497,23.96424674987793,1.3137449026107788,5.0,-2592000000.0,20.0
-16.6751709813,13.4792763471,21.369871139526367,0.4645501971244812,5.0,-0.0,14.0
-16.6705531492,13.4793071123,19.080493927001957,2.7851665019989014,5.0,1296000000.0,11.0
-16.6659353056,13.4793377928,20.93529319763184,1.8575904369354248,5.0,5184000000.0,5.0
-16.6613174505,13.4793683884,23.82297706604004,0.0,5.0,-0.0,0.0
-16.69822806,13.4746020561,23.59632682800293,0.0,5.0,-0.0,0.0
-16.6936103726,13.4746332347,28.036983489990234,6.443277835845947,5.0,-2592000000.0,23.0
-16.6889926735,13.4746643285,30.25016975402832,3.533499956130981,5.0,6480000000.0,30.0
-16.6843749637,13.4746953374,31.12335777282715,1.6745193004608154,5.0,1296000000.0,24.0
-16.6797572413,13.4747262616,31.512859344482425,6.1740007400512695,5.0,1296000000.0,15.0
-16.6751395074,13.474757101,30.241748809814453,0.9290392994880676,5.0,1296000000.0,10.0
-16.6705217619,13.4747878555,28.07442283630371,4.275084018707275,5.0,3888000000.0,3.0
-16.665904005,13.4748185253,28.43528938293457,2.9355664253234863,5.0,-1296000000.0,2.0
-16.6612862365,13.4748491103,31.545629501342773,1.642019271850586,5.0,3888000000.0,5.0
-16.6566684576,13.4748796104,31.37018394470215,0.0,5.0,-0.0,0.0
-16.6520506663,13.4749100257,31.14781379699707,0.0,5.0,-0.0,0.0
-16.6474328636,13.4749403563,28.993804931640625,0.0,5.0,-0.0,0.0
-16.6428150496,13.474970602,24.337461471557617,0.0,5.0,-0.0,0.0
-16.6381972242,13.4750007629,20.164520263671875,0.0,5.0,-0.0,0.0
